"SPD","Vahlendieck","Tamina","Angestellte","2003","23556","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Müller-Lornsen","Helmut","Unternehmer","1978","23560","Lübeck"
"FDP","Erler","Nico-André","Lebensmitteltechniker","1978","23554","Lübeck"
"AfD","Braun","Helga","Rentnerin","1931","23570","Lübeck"
"DIE LINKE","Martens","Hans-Jürgen","Groß- Außenhandelskaufmann","1960","23554","Lübeck"
"FREIE WÄHLER","Oldach","Nicole","Rechtsanwaltsfachangestellte","1986","23554","Lübeck"
"Die PARTEI","Langbehn","Bastian","Schnapshändler","1982","23566","Lübeck"
"dieBasis","Hornbogen","Gabriela","Architektin","1966","23568","Lübeck"
"PARTEI MENSCH","Dethlefs","Claus","Pensionär","1952","23554","Lübeck"
"Volt","Janßen","Martin","Lehramt Refarendar","1993","23558","Lübeck"
"BfL","Möller","Katrin","Hausfrau","1970","23569","Lübeck"
"GAL","Kehl","Ursula","Verwaltungsangestellt e i. R.","1938","23554","Lübeck"
"Die Unabhängigen","Schlüter","Eckard","Bundespolizeibeamter a. D.","1953","23564","Lübeck"

"CDU","Zander","Andreas","Beamter i. R.","1962","23554","Lübeck"
"SPD","Haltermann","Jörg","Beamter / Lehrer","1970","23562","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Thannhäuser","Detlef","Angestellter im öffentlichen Dienst","1963","23554","Lübeck"
"FDP","Mardfeldt","Daniel","Richter","1987","23552","Lübeck"
"AfD","Schaffer","Claus","Polizeibeamter / Kriminal-Hauptkommissar","1969","23554","Lübeck"
"DIE LINKE","Martens","Klaus-Peter","Kfm. Angestellter","1960","23554","Lübeck"
"FREIE WÄHLER","Kirsch","Jasmin","Restaurantmitarbeiterin","1988","23554","Lübeck"
"Die PARTEI","Kibbel","Janina","Lehrerin","1988","23552","Lübeck"
"BfL","Scholz","Günter","Ministerialbeamter a. D.","1940","23554","Lübeck"
"GAL","Feldmann","Waltraud","Krankenschwester i. R.","1956","23562","Lübeck"
"Die Unabhängigen","Rieck","Andreas","Lehrer","1961","23554","Lübeck"

"CDU","Dr. Eymer","Burkhart","Unternehmer","1975","23570","Lübeck"
"SPD","Schöler","Holger","Selbstständig","1961","23568","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Wisotzki","Stephan","Architekt / Energieberater","1985","23568","Lübeck"
"FDP","Koch","Gerrit","Rechtsanwalt und Notar","1969","23568","Lübeck"
"AfD","Grundmann","Enrico","Gärtner","1971","23569","Lübeck"
"DIE LINKE","Doğan","Nevaf","Fahrer","1980","23558","Lübeck"
