"CDU","Zander","Andreas","Beamter i. R.","1962","23554","Lübeck","19"
"SPD","Haltermann","Jörg","Beamter / Lehrer","1970","23562","Lübeck","19"
"BÜNDNIS 90/DIE GRUENEN","Thannhäuser","Detlef","Angestellter im öffentlichen Dienst","1963","23554","Lübeck","19"
"FDP","Mardfeldt","Daniel","Richter","1987","23552","Lübeck","19"
"AfD","Schaffer","Claus","Polizeibeamter / Kriminal-Hauptkommissar","1969","23554","Lübeck","19"
"DIE LINKE","Martens","Klaus-Peter","Kfm. Angestellter","1960","23554","Lübeck","19"
"FREIE WÄHLER","Kirsch","Jasmin","Restaurantmitarbeiterin","1988","23554","Lübeck","19"
"Die PARTEI","Kibbel","Janina","Lehrerin","1988","23552","Lübeck","19"
"BfL","Scholz","Günter","Ministerialbeamter a. D.","1940","23554","Lübeck","19"
"GAL","Feldmann","Waltraud","Krankenschwester i. R.","1956","23562","Lübeck","19"
"Die Unabhängigen","Rieck","Andreas","Lehrer","1961","23554","Lübeck","19"
"CDU","Dr. Eymer","Burkhart","Unternehmer","1975","23570","Lübeck","20"
"SPD","Schöler","Holger","Selbstständig","1961","23568","Lübeck","20"
"BÜNDNIS 90/DIE GRUENEN","Wisotzki","Stephan","Architekt / Energieberater","1985","23568","Lübeck","20"
"FDP","Koch","Gerrit","Rechtsanwalt und Notar","1969","23568","Lübeck","20"
"AfD","Grundmann","Enrico","Gärtner","1971","23569","Lübeck","20"
"DIE LINKE","Doğan","Nevaf","Fahrer","1980","23558","Lübeck","20"
"FREIE WÄHLER","Hinrichs","Rüdiger","Versicherungskaufmann","1959","23568","Lübeck","20"
"Die PARTEI","Ahlf","Viviane","Serviceassistenz der Standortkommunikation","1984","23560","Lübeck","20"
"dieBasis","Wöbke","Petra","Kauffrau","1960","23570","Lübeck","20"
"Volt","Hartenstein","Julia","Kunst- Wissenschaftlerin","1992","23552","Lübeck","20"
"BfL","Möller","Lothar","Automobilberater","1968","23569","Lübeck","20"
"GAL","Boitin","Ingrid","Buchhalterin i. R.","1952","23568","Lübeck","20"
"Die Unabhängigen","Prüß","Manfred","Elektroingenieur","1953","23568","Lübeck","20"
"CDU","Dr. Grohmann","Carsten","Arzt","1983","23568","Lübeck","21"
"SPD","Voß","Andreas","Angestellter / Geschäftsführer ASB","1961","23554","Lübeck","21"
"BÜNDNIS 90/DIE GRUENEN","Meier","Marilla","Gärtnerin im Gemüsebau","1972","23564","Lübeck","21"
"FDP","Manegold","Max","selbstständig","1992","23566","Lübeck","21"
"AfD","Groß","Dirk","Unternehmer","1973","23556","Lübeck","21"
"DIE LINKE","Kchaou","Mohamed","Rentner","1947","23558","Lübeck","21"
"FREIE WÄHLER","Voht","Gregor","Unternehmer","1990","23552","Lübeck","21"
"Die PARTEI","Tevers","Jakob","Altenpfleger","2003","23570","Lübeck","21"
"dieBasis","Wöbke","Mike","Fisch- und Weinsommelier","1966","23570","Lübeck","21"
"Volt","Freitag","Matthias","Security Kraft","1974","23558","Lübeck","21"
"BfL","Krause","Volker","Kaufmann Rentner","1952","23568","Lübeck","21"
"GAL","Lenz","Helga","Geschäftsführerin","1956","23566","Lübeck","21"
"Die Unabhängigen","Federsel","Susanne","Medizinische Fachangestellte","1962","23556","Lübeck","21"
"CDU","Wargenau","Horst-Georg","Lehrer","1956","23570","Lübeck","22"
"SPD","Puhle","Jörn","Tischler / Erzieher","1971","23569","Lübeck","22"
"BÜNDNIS 90/DIE GRUENEN","Helzel","Astrid","Selbstständige Personalberaterin","1971","23556","Lübeck","22"
"FDP","Hussein","Kardo","Student der Rechtswissenschaften","2001","23562","Lübeck","22"
"AfD","Schmidt","Horst","Rentner","1941","23570","Lübeck","22"
"DIE LINKE","Müller","Dirk","Taxifahrer (Vollzeit)","1982","23569","Lübeck","22"
"FREIE WÄHLER","Zelas","Adelheid","Pflegedienstleitung","1964","23569","Lübeck","22"
"Die PARTEI","Mittelstädt","Mailo","Zahntechniker","1992","23554","Lübeck","22"
"dieBasis","Ingwersen-Polte","Margret","Lehrerin i. R.","1955","23569","Lübeck","22"
"Volt","Kelly","Kathrin","Ärztin","1990","23564","Lübeck","22"
"BfL","Möller","Nathalie","Immobilienkauffrau","1995","23556","Lübeck","22"
